"id","name","type_2","reg_year","is_current","president","has_president","primary_mc_contact","has_mc_contact","primary_fac_contact","has_fac_contact"
1,Baker National,0,"2,017",0,Mike Mense,1,Mike Mense,1,Jeff May,1
2,Braemar Golf Courses,0,"2,017",0,Tim Nord,1,Mark Schmidt,1,Joe Greupner,1
2,Braemar Golf Courses,0,"2,017",0,Tim Nord,1,Mark Schmidt,1,Joe Abood,1
3,Brooktree Golf Course,0,"2,017",0,,0,,0,Mary Jo Knudson,1
4,Brookview Golf Course,0,"2,017",0,Roger Hamm,1,Roger Hamm,1,Ben Disch,1
5,Bunker Hills Golf Course,0,"2,017",0,Mike Konieczny,1,Paul Wright,1,Tim Anderson,1
6,Cannon Golf Club,0,"2,017",0,Doug Rechtzigel,1,Doug Rechtzigel,1,Erik Fox,1
7,Cedar Creek Golf Course,0,"2,017",0,,0,,0,Chris Sauer,1
8,Chaska Town Course,0,"2,017",0,,0,,0,John Kellin,1
9,Chisago Lakes Golf Course,0,"2,017",0,Brett Bennett,1,Brett Bennett,1,Todd Kueppers,1
10,Chomonix Golf Course,0,"2,017",0,,0,Dave Andrews,1,Chris Bettinger,1
11,Columbia Golf Course,0,"2,017",0,Brian Earley,1,John Gaylord,1,Joe Green,1
12,Como Golf Course,0,"2,017",0,Wayne Miller,1,Wayne Miller,1,,0
13,Deer Run Golf Club,0,"2,017",0,,0,Lori Money,1,Tom Abts,1
14,Dwan Golf Club,0,"2,017",0,Scott Knudsen,1,Gregg Mayer,1,,0
15,Eagle Creek Golf Club,0,"2,017",0,Andy Jacobson,1,Andy Jacobson,1,Joel Jacobson,1
16,Eagle Valley Golf Course,0,"2,017",0,,0,,0,Josh Wendel,1
17,Eastwood Golf Course,0,"2,017",0,Joseph Larson,1,Jeff Gorman,1,,0
17,Eastwood Golf Course,0,"2,017",0,Joseph Larson,1,Joseph Larson,1,,0
18,Edinburgh Golf Course,0,"2,017",0,Dan Williams,1,Kurt Johnson,1,Don Berry,1
19,Elk River Golf Club,0,"2,017",0,Dan Tveite,1,,0,Cory Pike,1
20,Emerald Greens,0,"2,017",0,Jeff Johnson,1,Jeff Johnson,1,Mike O'Rourke,1
21,Fountain Valley Golf Club,0,"2,017",0,Dave Greenwald,1,Dave Greenwald,1,Bryce Olson,1
22,Fox Hollow Golf Club,0,"2,017",0,Joe Sicora,1,Dave Sack,1,Eric Larson,1
23,Goodrich Golf Club,0,"2,017",0,Randy McGrew,1,Randy McGrew,1,Brad Behnke,1
24,Green Lea Golf Course,0,,0,Dave Drommerhausen,1,Dave Drommerhausen,1,Jeff Elseth,1
25,Greenhaven,0,"2,017",0,,0,,0,,0
26,Greystone Golf Club,0,,0,Loren Beste,1,Loren Beste,1,James Alderman,1
27,Gross National Golf Club,0,"2,017",0,Paul Bussman,1,Bill Oas,1,Dave Bratland,1
28,Heritage Links Golf Club,0,"2,017",0,,0,,0,Brett Martinson,1
29,Hiawatha Golf Club,0,"2,017",0,John Nelson,1,John Nelson,1,Dan Stoneburg,1
30,Highland National Golf Course,0,"2,017",0,Chuck Killan,1,Don Christ,1,John Shimpach,1
31,Island View Golf Course,0,"2,017",0,,0,,0,Dan Callahan,1
32,Keller Golf Course,0,"2,017",0,Dan Magnuson,1,Chuck Knudtson,1,Mark Foley,1
33,The Legends Golf Course,0,,0,,0,,0,Mike Luckraft,1
34,The Links At Northfork,0,"2,017",0,Mike Melhus,1,Mike Melhus,1,Mick Mollberg,1
35,Majestic Oaks Golf Club,0,"2,017",0,Joe Fulton,1,Joe Fulton,1,Jesse Vonriper,1
36,Manitou Ridge,0,"2,017",0,Terry Hanson,1,Terry Hanson,1,Greg Hubbard,1
37,Meadowbrook Golf Course,0,"2,017",0,Todd Ley,1,Ron Greaves,1,,0
38,Monticello Country Club,0,"2,017",0,,0,Bill Witbeck,1,Kristi Dostal,1
39,New Richmond Golf Club,0,"2,017",0,Craig Kittel,1,Eric Pederson,1,Ross Johnson,1
40,Northern Hills Golf Course,0,"2,017",0,Bob Schmidt,1,Jeff Gorman,1,,0
40,Northern Hills Golf Course,0,"2,017",0,Bob Schmidt,1,Mike Bruesewitz,1,,0
41,Oak Glen Golf Course,0,,0,,0,,0,Caleb Turbett,1
42,Pebble Creek Golf Club,0,"2,017",0,Pat Utz,1,Pat Utz,1,Troy Malo,1
43,Phalen Park Golf Course,0,"2,017",0,Steve Langdon,1,Steve Langdon,1,Tim Kuebelbeck,1
